tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0	Gene_ID	Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSMUSG00000000171.4	118.14200000000001	117.615	151.72799999999998	139.026	ENSMUSG00000000171	ENSMUSG00000000171	50596357	50603812	Sdhd	9
ENSMUSG00000000182.7	0.0372136	0.0417045	0.0	0.0	ENSMUSG00000000182	ENSMUSG00000000182	127072902	127081408	Fgf23	6
ENSMUSG00000000183.5	0.0	0.0	0.0	0.0	ENSMUSG00000000183	ENSMUSG00000000183	127015586	127028187	Fgf6	6
ENSMUSG00000000184.9	93.2621	93.4195	24.2369	26.7656	ENSMUSG00000000184	ENSMUSG00000000184	127125162	127152193	Ccnd2	6
ENSMUSG00000000194.7	24.908	26.3095	34.7188	34.6767	ENSMUSG00000000194	ENSMUSG00000000194	31152316	31218775	Gpr107	2
ENSMUSG00000000197.6	0.0	0.00957583	0.00508118	0.0	ENSMUSG00000000197	ENSMUSG00000000197	123276634	123627144	Nalcn	14
ENSMUSG00000000202.3	0.778941	0.670804	0.0126751	0.0252149	ENSMUSG00000000202	ENSMUSG00000000202	114791217	114795945	Btbd17	11
ENSMUSG00000000204.8	0.0255505	0.00949597	0.0320325	0.0	ENSMUSG00000000204	ENSMUSG00000000204	83175186	83190216	Slfn4	11
ENSMUSG00000000214.4	0.037432599999999996	0.0	0.0	0.0	ENSMUSG00000000214	ENSMUSG00000000214	142892752	142931128	Th	7
ENSMUSG00000000215.4	0.0	0.0	0.0	0.0	ENSMUSG00000000215	ENSMUSG00000000215	142678656	142743381	Ins2	7
ENSMUSG00000000216.7	0.0	0.01195	0.0	0.0	ENSMUSG00000000216	ENSMUSG00000000216	121734479	121768475	Scnn1g	7
ENSMUSG00000000223.6	0.024487099999999998	0.06670989999999999	0.012022399999999999	0.029000599999999998	ENSMUSG00000000223	ENSMUSG00000000223	134404551	134456573	Drp2	X
ENSMUSG00000000244.9	2.23443	2.87452	0.956925	0.9086059999999999	ENSMUSG00000000244	ENSMUSG00000000244	143005046	143019644	Tspan32	7
ENSMUSG00000000247.4	0.0	0.0	0.051374199999999995	0.0	ENSMUSG00000000247	ENSMUSG00000000247	38339281	38369733	Lhx2	2
ENSMUSG00000000248.9	0.159681	0.184596	0.09748689999999999	0.0	ENSMUSG00000000248	ENSMUSG00000000248	128934381	128984707	Clec2g	6
ENSMUSG00000000253.6	3.84767	3.40237	1.60893	1.18937	ENSMUSG00000000253	ENSMUSG00000000253	45507444	45553800	Gmpr	13
ENSMUSG00000000263.9	0.0	0.0	0.06704969999999999	0.0890265	ENSMUSG00000000263	ENSMUSG00000000263	55514238	55608198	Glra1	11
ENSMUSG00000000266.5	6.112080000000001	6.23172	3.50886	3.69876	ENSMUSG00000000266	ENSMUSG00000000266	140664599	140767715	Mid2	X
ENSMUSG00000000275.9	12.4538	12.5486	13.0214	13.177999999999999	ENSMUSG00000000275	ENSMUSG00000000275	88999376	89020293	Trim25	11
ENSMUSG00000000276.5	1.32637	1.45292	2.99301	2.87945	ENSMUSG00000000276	ENSMUSG00000000276	89035179	89066850	Dgke	11
ENSMUSG00000000278.9	73.3732	71.5596	83.1949	92.1551	ENSMUSG00000000278	ENSMUSG00000000278	88924020	88955465	Scpep1	11
ENSMUSG00000000282.6	2.63127	2.531	3.2279	4.22968	ENSMUSG00000000282	ENSMUSG00000000282	74830920	74845725	Mnt	11
ENSMUSG00000000290.7	0.151868	0.124324	0.127744	0.0905578	ENSMUSG00000000290	ENSMUSG00000000290	77530252	77565708	Itgb2	10
ENSMUSG00000000295.6	40.5356	38.8605	36.3772	33.6397	ENSMUSG00000000295	ENSMUSG00000000295	31313383	31328204	Hddc2	10
ENSMUSG00000000296.6	33.6913	29.1832	8.70975	6.22314	ENSMUSG00000000296	ENSMUSG00000000296	31332376	31445958	Tpd52l1	10
ENSMUSG00000000301.9	9.295869999999999	5.85746	4.20635	3.0049	ENSMUSG00000000301	ENSMUSG00000000301	59970614	60046489	Pemt	11
ENSMUSG00000000303.6	45.0608	44.8672	30.2309	30.3893	ENSMUSG00000000303	ENSMUSG00000000303	106603351	106670246	Cdh1	8
ENSMUSG00000000305.6	0.0	0.0107071	0.0415233	0.0112841	ENSMUSG00000000305	ENSMUSG00000000305	179442431	179899373	Cdh4	2
ENSMUSG00000000308.8	0.708429	0.396246	0.510728	1.76088	ENSMUSG00000000308	ENSMUSG00000000308	121357714	121363737	Ckmt1	2
ENSMUSG00000000317.5	0.141441	0.15246099999999999	0.0446399	0.0221859	ENSMUSG00000000317	ENSMUSG00000000317	70224128	70229798	Bcl6b	11
ENSMUSG00000000318.9	0.0	0.0	0.0	0.0	ENSMUSG00000000318	ENSMUSG00000000318	70156197	70170834	Clec10a	11
ENSMUSG00000000320.3	0.06400030000000001	0.08334739999999999	0.025262299999999998	0.055235	ENSMUSG00000000320	ENSMUSG00000000320	70241457	70255353	Alox12	11
ENSMUSG00000000325.8	10.5137	10.2883	14.6392	14.3315	ENSMUSG00000000325	ENSMUSG00000000325	18348182	18407076	Arvcf	16
ENSMUSG00000000326.6	139.95600000000002	149.871	213.173	210.519	ENSMUSG00000000326	ENSMUSG00000000326	18406886	18426852	Comt	16
ENSMUSG00000000339.8	12.9585	14.1834	16.4485	12.6514	ENSMUSG00000000339	ENSMUSG00000000339	116488963	116508208	Rtca	3
ENSMUSG00000000340.6	6.64468	6.2621	7.796410000000001	8.566880000000001	ENSMUSG00000000340	ENSMUSG00000000340	116513070	116549981	Dbt	3
ENSMUSG00000000346.7	80.656	81.0928	120.964	123.007	ENSMUSG00000000346	ENSMUSG00000000346	100615349	100620761	Dazap2	15
ENSMUSG00000000355.6	186.137	184.07	162.744	152.84	ENSMUSG00000000355	ENSMUSG00000000355	38600578	38613426	Mcts1	X
ENSMUSG00000000359.3	0.0	0.0	0.0	0.0	ENSMUSG00000000359	ENSMUSG00000000359	152626951	152635198	Rem1	2
ENSMUSG00000000365.7	0.0	0.0	0.0	0.0	ENSMUSG00000000365	ENSMUSG00000000365	56402581	56525032	Rnf17	14
ENSMUSG00000000374.7	14.8396	14.6251	18.62	18.6118	ENSMUSG00000000374	ENSMUSG00000000374	78186725	78244641	Trappc10	10
ENSMUSG00000000378.8	44.5036	41.9809	57.0155	52.4884	ENSMUSG00000000378	ENSMUSG00000000378	6546887	6596744	Ccm2	11
ENSMUSG00000000381.9	0.121625	0.20410699999999998	0.396852	0.359013	ENSMUSG00000000381	ENSMUSG00000000381	6635482	6638637	Wap	11
ENSMUSG00000000384.8	30.0227	32.9985	42.4192	45.9594	ENSMUSG00000000384	ENSMUSG00000000384	6615598	6626067	Tbrg4	11
ENSMUSG00000000385.7	2.594	2.9060099999999998	7.86263	8.57667	ENSMUSG00000000385	ENSMUSG00000000385	97564682	97611195	Tmprss2	16
ENSMUSG00000000386.8	0.149592	0.10900499999999999	0.056802099999999994	0.0	ENSMUSG00000000386	ENSMUSG00000000386	97447035	97462907	Mx1	16
ENSMUSG00000000392.11	0.100509	0.0424575	0.0	0.0	ENSMUSG00000000392	ENSMUSG00000000392	62500943	62574075	Fap	2
ENSMUSG00000000394.9	0.0	0.0	0.0	0.0	ENSMUSG00000000394	ENSMUSG00000000394	62474530	62483650	Gcg	2
ENSMUSG00000000399.7	114.715	116.102	114.12100000000001	96.7974	ENSMUSG00000000399	ENSMUSG00000000399	126821721	126849136	Ndufa9	6
ENSMUSG00000000402.2	0.0	0.0133385	0.0	0.0	ENSMUSG00000000402	ENSMUSG00000000402	166523007	166585720	Egfl6	X
ENSMUSG00000000409.8	1.06416	1.00731	0.198554	0.0986198	ENSMUSG00000000409	ENSMUSG00000000409	129548344	129573641	Lck	4
ENSMUSG00000000411.7	0.0	0.031498200000000004	0.0667579	0.06659989999999999	ENSMUSG00000000411	ENSMUSG00000000411	129489014	129491022	Tssk3	4
ENSMUSG00000000416.9	14.0485	20.612	3.2558700000000003	3.03747	ENSMUSG00000000416	ENSMUSG00000000416	18366478	18514843	Cttnbp2	6
ENSMUSG00000000420.8	59.4417	58.0632	86.5677	80.5537	ENSMUSG00000000420	ENSMUSG00000000420	24205344	24286818	Galnt1	18
ENSMUSG00000000435.1	0.0	0.0	0.0	0.0	ENSMUSG00000000435	ENSMUSG00000000435	107482908	107486134	Myf5	10
ENSMUSG00000000439.7	19.209	20.7864	22.0159	21.7774	ENSMUSG00000000439	ENSMUSG00000000439	115601902	115622624	Mkrn2	6
ENSMUSG00000000440.6	3.2612799999999997	3.80459	2.73185	2.61475	ENSMUSG00000000440	ENSMUSG00000000440	115360951	115490399	Pparg	6
ENSMUSG00000000441.10	54.1629	54.7152	46.4418	43.8463	ENSMUSG00000000441	ENSMUSG00000000441	115618067	115676635	Raf1	6
ENSMUSG00000000486.7	0.277893	0.25806100000000004	0.0628158	0.0922793	ENSMUSG00000000486	ENSMUSG00000000486	127214447	127233130	Sept1	7
ENSMUSG00000000489.6	11.0278	10.937000000000001	25.9128	27.7848	ENSMUSG00000000489	ENSMUSG00000000489	79995874	80014977	Pdgfb	15
ENSMUSG00000000530.9	0.361107	0.21144699999999997	0.117507	0.148645	ENSMUSG00000000530	ENSMUSG00000000530	101128522	101145336	Acvrl1	15
ENSMUSG00000000531.4	0.8271200000000001	0.944501	5.36152	5.0826199999999995	ENSMUSG00000000531	ENSMUSG00000000531	101224188	101232756	Grasp	15
ENSMUSG00000000532.8	15.4098	14.8327	11.2909	11.4977	ENSMUSG00000000532	ENSMUSG00000000532	101174067	101213684	Acvr1b	15
ENSMUSG00000000538.11	35.0623	34.2312	16.4857	19.4582	ENSMUSG00000000538	ENSMUSG00000000538	60226714	60352905	Tom1l2	11
ENSMUSG00000000544.8	0.20776799999999998	0.0	0.0	0.0	ENSMUSG00000000544	ENSMUSG00000000544	166130238	166166510	Gpa33	1
ENSMUSG00000000552.8	0.7667970000000001	0.512533	0.900327	2.06198	ENSMUSG00000000552	ENSMUSG00000000552	103313895	103340093	Zfp385a	15
ENSMUSG00000000555.6	7.02605	7.45553	7.8433600000000006	10.2647	ENSMUSG00000000555	ENSMUSG00000000555	103344286	103366763	Itga5	15
ENSMUSG00000000560.5	0.0	0.0	0.0	0.0	ENSMUSG00000000560	ENSMUSG00000000560	70957597	71095849	Gabra2	5
ENSMUSG00000000561.8	26.2563	27.2872	45.7264	36.9658	ENSMUSG00000000561	ENSMUSG00000000561	105959369	105970037	Wdr77	3
ENSMUSG00000000562.4	0.0	0.0	0.0	0.0	ENSMUSG00000000562	ENSMUSG00000000562	105870858	105908926	Adora3	3
ENSMUSG00000000563.11	140.34	138.481	188.265	171.763	ENSMUSG00000000563	ENSMUSG00000000563	105942698	105960099	Atp5f1	3
ENSMUSG00000000567.4	12.1728	13.0257	7.38386	9.76982	ENSMUSG00000000567	ENSMUSG00000000567	112782224	112787760	Sox9	11
ENSMUSG00000000568.9	16.285999999999998	12.2996	14.5858	20.7168	ENSMUSG00000000568	ENSMUSG00000000568	99955935	99978938	Hnrnpd	5
ENSMUSG00000000579.8	23.201	26.371	16.0973	15.8508	ENSMUSG00000000579	ENSMUSG00000000579	6601671	6609774	Dynlt1c	17
ENSMUSG00000000581.2	58.7371	51.9071	73.9981	59.1293	ENSMUSG00000000581	ENSMUSG00000000581	17257579	17269176	C1d	11
ENSMUSG00000000594.7	13.6827	13.8875	17.3302	17.2021	ENSMUSG00000000594	ENSMUSG00000000594	55098115	55113029	Gm2a	11
ENSMUSG00000000600.8	19.3386	19.9027	26.4213	23.8567	ENSMUSG00000000600	ENSMUSG00000000600	3803184	3845564	Krit1	5
ENSMUSG00000000605.7	21.6235	21.7243	27.7489	27.7549	ENSMUSG00000000605	ENSMUSG00000000605	7282309	7300851	Clcn4	7
ENSMUSG00000000606.8	0.0	0.0	0.0	0.0	ENSMUSG00000000606	ENSMUSG00000000606	51410819	51419527	Vmn2r88	14
ENSMUSG00000000617.8	0.0	0.0	0.0	0.0	ENSMUSG00000000617	ENSMUSG00000000617	50850685	50866208	Grm6	11
ENSMUSG00000000627.9	0.0153471	0.0171064	0.145199	0.08115739999999999	ENSMUSG00000000627	ENSMUSG00000000627	82911885	82939769	Sema4f	6
ENSMUSG00000000628.4	3.82922	3.2713900000000002	3.73334	4.78924	ENSMUSG00000000628	ENSMUSG00000000628	82725025	82774454	Hk2	6
ENSMUSG00000000631.12	163.453	170.732	235.407	231.41299999999998	ENSMUSG00000000631	ENSMUSG00000000631	77763246	77865980	Myo18a	11
ENSMUSG00000000632.7	0.018517	0.0	0.0	0.0	ENSMUSG00000000632	ENSMUSG00000000632	77930800	77979048	Sez6	11
ENSMUSG00000000673.8	0.0	0.0	0.0	0.0	ENSMUSG00000000673	ENSMUSG00000000673	83831356	83846790	Haao	17
ENSMUSG00000000682.7	0.0	0.0	0.0	0.0	ENSMUSG00000000682	ENSMUSG00000000682	134082448	134095082	Cd52	4
ENSMUSG00000000686.11	1.46591	1.2850700000000002	0.5145	0.170043	ENSMUSG00000000686	ENSMUSG00000000686	77515121	77538607	Abhd15	11
ENSMUSG00000000690.3	0.132375	0.0572021	0.0712028	0.09543430000000001	ENSMUSG00000000690	ENSMUSG00000000690	96292476	96301569	Hoxb6	11
ENSMUSG00000000693.4	5.00868	6.45446	5.43115	3.75014	ENSMUSG00000000693	ENSMUSG00000000693	83034173	83052562	Loxl3	6
ENSMUSG00000000701.7	0.0	0.0	0.0	0.0	ENSMUSG00000000701	ENSMUSG00000000701	105176344	105181145	Tcl1b5	12
ENSMUSG00000000706.9	0.18523299999999998	0.1818	0.47504300000000005	0.623935	ENSMUSG00000000706	ENSMUSG00000000706	23456992	23465901	Btn1a1	13
ENSMUSG00000000708.8	25.5799	29.2943	17.7615	17.5597	ENSMUSG00000000708	ENSMUSG00000000708	53566861	53672720	Kat2b	17
ENSMUSG00000000711.2	47.0947	44.3962	37.0855	36.2985	ENSMUSG00000000711	ENSMUSG00000000711	128677175	128696264	Rab5b	10
ENSMUSG00000000724.9	0.794556	0.547675	0.54991	1.03578	ENSMUSG00000000724	ENSMUSG00000000724	77718615	77725283	Cryba1	11
ENSMUSG00000000730.7	0.0	0.0	0.0	0.0	ENSMUSG00000000730	ENSMUSG00000000730	78041947	78063622	Dnmt3l	10
ENSMUSG00000000731.9	0.0	0.0	0.0	0.0	ENSMUSG00000000731	ENSMUSG00000000731	78030022	78043610	Aire	10
ENSMUSG00000000732.7	0.023393900000000002	0.0675841	0.0	0.0	ENSMUSG00000000732	ENSMUSG00000000732	78069302	78083913	Icosl	10
ENSMUSG00000000738.11	51.7927	49.6878	31.2549	27.2639	ENSMUSG00000000738	ENSMUSG00000000738	123062942	123097760	Spg7	8
ENSMUSG00000000739.7	0.320377	0.437403	0.0	0.0763132	ENSMUSG00000000739	ENSMUSG00000000739	123140192	123158315	Sult5a1	8
ENSMUSG00000000740.5	261.693	216.585	260.454	232.421	ENSMUSG00000000740	ENSMUSG00000000740	123102350	123105244	Rpl13	8
ENSMUSG00000000743.8	84.1552	85.4881	87.56299999999999	78.0841	ENSMUSG00000000743	ENSMUSG00000000743	123204264	123212763	Chmp1a	8
ENSMUSG00000000751.7	36.6446	39.2869	20.8659	19.2203	ENSMUSG00000000751	ENSMUSG00000000751	75298166	75348324	Rpa1	11
ENSMUSG00000000753.8	5.62895	6.16938	1.07246	1.11625	ENSMUSG00000000753	ENSMUSG00000000753	75409769	75422701	Serpinf1	11
ENSMUSG00000000759.8	21.6694	22.6983	28.581	25.4225	ENSMUSG00000000759	ENSMUSG00000000759	12614277	12672248	Tubgcp3	8
ENSMUSG00000000766.11	0.0	0.0	0.0	0.0	ENSMUSG00000000766	ENSMUSG00000000766	6758506	7038198	Oprm1	10
ENSMUSG00000000776.5	13.8492	13.5053	17.1326	15.6728	ENSMUSG00000000776	ENSMUSG00000000776	70438757	70443447	Polr3d	14
ENSMUSG00000000782.8	0.326375	0.366752	0.546766	0.805503	ENSMUSG00000000782	ENSMUSG00000000782	52252371	52283014	Tcf7	11
ENSMUSG00000000787.6	207.78799999999998	199.051	302.812	292.086	ENSMUSG00000000787	ENSMUSG00000000787	13280970	13294052	Ddx3x	X
ENSMUSG00000000791.7	0.12958599999999998	0.062421500000000005	0.0418708	0.0416384	ENSMUSG00000000791	ENSMUSG00000000791	70808449	70821424	Il12rb1	8
ENSMUSG00000000792.2	0.0876336	0.03668830000000001	0.11675899999999999	0.10319300000000001	ENSMUSG00000000792	ENSMUSG00000000792	70882889	70892757	Slc5a5	8
ENSMUSG00000000794.7	0.06561489999999999	0.0124325	0.0	0.0	ENSMUSG00000000794	ENSMUSG00000000794	89520164	89675132	Kcnn3	3
ENSMUSG00000000804.8	19.8635	18.4808	18.9031	20.7684	ENSMUSG00000000804	ENSMUSG00000000804	84984442	85140161	Usp32	11
ENSMUSG00000000805.11	0.0	0.0	0.0	0.0	ENSMUSG00000000805	ENSMUSG00000000805	84957786	84966044	Car4	11
ENSMUSG00000000811.7	2.9142099999999997	3.3553800000000003	3.69047	3.1519999999999997	ENSMUSG00000000811	ENSMUSG00000000811	89643988	89675529	Txnrd3	6
ENSMUSG00000000817.8	0.0	0.052466599999999995	0.0	0.056789400000000004	ENSMUSG00000000817	ENSMUSG00000000817	161780689	161788495	Fasl	1
ENSMUSG00000000823.9	12.0515	12.4847	12.4534	12.2879	ENSMUSG00000000823	ENSMUSG00000000823	181582103	181592803	Zfp512b	2
ENSMUSG00000000826.10	46.4692	46.4928	86.8794	82.4402	ENSMUSG00000000826	ENSMUSG00000000826	181520485	181555133	Dnajc5	2
ENSMUSG00000000827.10	85.704	83.2732	80.2614	68.4916	ENSMUSG00000000827	ENSMUSG00000000827	181497142	181517966	Tpd52l2	2
ENSMUSG00000000838.10	25.5233	26.599	21.2278	21.1132	ENSMUSG00000000838	ENSMUSG00000000838	68678541	68717963	Fmr1	X
ENSMUSG00000000861.9	0.0	0.00572471	0.0	0.0	ENSMUSG00000000861	ENSMUSG00000000861	24078056	24174123	Bcl11a	11
ENSMUSG00000000869.6	0.0	0.0	0.0	0.343539	ENSMUSG00000000869	ENSMUSG00000000869	53602982	53618669	Il4	11
ENSMUSG00000000876.5	9.42627	10.9393	3.93247	3.93985	ENSMUSG00000000876	ENSMUSG00000000876	154585758	154603708	Pxmp4	2
ENSMUSG00000000881.6	2.6861	3.3675900000000003	1.92796	1.8600700000000001	ENSMUSG00000000881	ENSMUSG00000000881	100767722	100818410	Dlg3	X
ENSMUSG00000000884.9	1.3339299999999998	1.80299	2.96698	2.15055	ENSMUSG00000000884	ENSMUSG00000000884	18498713	18566679	Gnb1l	16
ENSMUSG00000000889.7	0.028923	0.0284264	0.0	0.0170667	ENSMUSG00000000889	ENSMUSG00000000889	27165233	27183200	Dbh	2
ENSMUSG00000000901.8	6.44491	5.66849	11.023	9.94065	ENSMUSG00000000901	ENSMUSG00000000901	75923222	75936496	Mmp11	10
ENSMUSG00000000902.6	26.3486	25.9147	24.915	23.546999999999997	ENSMUSG00000000902	ENSMUSG00000000902	75896769	75921617	Smarcb1	10
ENSMUSG00000000903.3	0.0	0.0	0.0	0.0	ENSMUSG00000000903	ENSMUSG00000000903	75943057	75949657	Vpreb3	10
ENSMUSG00000000915.9	23.9851	23.9353	22.968000000000004	22.008000000000003	ENSMUSG00000000915	ENSMUSG00000000915	123973628	124005558	Hip1r	5
ENSMUSG00000000916.9	7.27187	6.02531	8.755980000000001	6.601939999999999	ENSMUSG00000000916	ENSMUSG00000000916	135369953	135376805	Nsun5	5
ENSMUSG00000000934.8	8.5825	9.4161	10.529000000000002	9.378	ENSMUSG00000000934	ENSMUSG00000000934	75657035	75678800	Top1mt	15
ENSMUSG00000000938.9	0.6210720000000001	0.454571	0.189299	0.259297	ENSMUSG00000000938	ENSMUSG00000000938	52231197	52240854	Hoxa10	6
ENSMUSG00000000942.9	0.021584700000000002	0.0750559	0.0513644	0.0	ENSMUSG00000000942	ENSMUSG00000000942	52189671	52191753	Hoxa4	6
ENSMUSG00000000948.9	5.4858	4.58932	5.8162	5.33857	ENSMUSG00000000948	ENSMUSG00000000948	59974149	60005064	Gm38393	7
ENSMUSG00000000957.8	63.9434	63.4384	59.7185	58.3067	ENSMUSG00000000957	ENSMUSG00000000957	54431612	54445364	Mmp14	14
ENSMUSG00000000958.4	14.6523	13.4932	2.4008700000000003	2.41994	ENSMUSG00000000958	ENSMUSG00000000958	54369442	54417780	Slc7a7	14
ENSMUSG00000000959.5	8.26816	8.408439999999999	11.2131	13.0573	ENSMUSG00000000959	ENSMUSG00000000959	54360834	54369673	Oxa1l	14
ENSMUSG00000000976.7	9.39935	9.68483	9.45616	11.1143	ENSMUSG00000000976	ENSMUSG00000000976	83753696	83783754	Heatr6	11
ENSMUSG00000000982.5	0.10856099999999999	0.06193390000000001	0.0	0.0	ENSMUSG00000000982	ENSMUSG00000000982	83647844	83649355	Ccl3	11
ENSMUSG00000000983.7	0.0	0.0	0.363352	0.367811	ENSMUSG00000000983	ENSMUSG00000000983	83709015	83711348	Wfdc18	11
ENSMUSG00000001014.5	1.3808	1.51767	0.725635	0.8817229999999999	ENSMUSG00000001014	ENSMUSG00000001014	21029373	21030595	Icam4	9
ENSMUSG00000001016.8	30.6585	30.0099	51.9743	48.3381	ENSMUSG00000001016	ENSMUSG00000001016	90476126	90488379	Ilf2	3
ENSMUSG00000001017.9	57.5216	55.8431	70.9104	68.9931	ENSMUSG00000001017	ENSMUSG00000001017	90498956	90509498	Chtop	3
ENSMUSG00000001018.7	37.9444	38.3725	40.7849	40.3608	ENSMUSG00000001018	ENSMUSG00000001018	90488026	90491033	Snapin	3
ENSMUSG00000001020.7	5.21743	5.9907900000000005	17.0232	12.6773	ENSMUSG00000001020	ENSMUSG00000001020	90603771	90606045	S100a4	3
ENSMUSG00000001021.8	8.67322	9.92612	24.8585	23.059	ENSMUSG00000001021	ENSMUSG00000001021	90560578	90602702	S100a3	3
ENSMUSG00000001023.4	0.0	0.0	0.0	0.0	ENSMUSG00000001023	ENSMUSG00000001023	90608523	90611780	S100a5	3
ENSMUSG00000001025.4	1657.72	1725.38	3911.83	3800.86	ENSMUSG00000001025	ENSMUSG00000001025	90612882	90624181	S100a6	3
ENSMUSG00000001027.7	0.00930319	0.0103538	0.0	0.0	ENSMUSG00000001027	ENSMUSG00000001027	106318592	106353288	Scn4a	11
ENSMUSG00000001029.9	0.0	0.0	0.0	0.0	ENSMUSG00000001029	ENSMUSG00000001029	106377656	106388075	Icam2	11
ENSMUSG00000001034.10	5.08375	6.36681	8.36784	9.85417	ENSMUSG00000001034	ENSMUSG00000001034	61488812	61494406	Mapk7	11
ENSMUSG00000001036.10	41.6288	43.8467	46.6696	43.9878	ENSMUSG00000001036	ENSMUSG00000001036	61517249	61579687	Epn2	11
ENSMUSG00000001039.5	37.2676	33.3574	70.1271	59.4805	ENSMUSG00000001039	ENSMUSG00000001039	61505144	61512931	B9d1	11
ENSMUSG00000001052.8	7.748939999999999	8.515089999999999	11.2787	15.9429	ENSMUSG00000001052	ENSMUSG00000001052	129982759	130061553	Sec24b	3
ENSMUSG00000001053.9	2.38875	2.71752	1.22869	1.35274	ENSMUSG00000001053	ENSMUSG00000001053	51643063	51650842	N4bp3	11
ENSMUSG00000001054.3	12.4179	11.6467	14.2618	15.0003	ENSMUSG00000001054	ENSMUSG00000001054	51623671	51635896	Rmnd5b	11
